[0.063s] -- The C compiler identification is GNU 8.4.0
[0.130s] -- The CXX compiler identification is GNU 8.4.0
[0.139s] -- Check for working C compiler: /usr/bin/cc
[0.203s] -- Check for working C compiler: /usr/bin/cc - works
[0.204s] -- Detecting C compiler ABI info
[0.261s] -- Detecting C compiler ABI info - done
[0.280s] -- Detecting C compile features
[0.280s] -- Detecting C compile features - done
[0.284s] -- Check for working CXX compiler: /usr/bin/c++
[0.351s] -- Check for working CXX compiler: /usr/bin/c++ - works
[0.353s] -- Detecting CXX compiler ABI info
[0.426s] -- Detecting CXX compiler ABI info - done
[0.439s] -- Detecting CXX compile features
[0.439s] -- Detecting CXX compile features - done
[0.442s] -- Found ament_cmake: 0.8.2 (/opt/ros/eloquent/share/ament_cmake/cmake)
[0.486s] -- Found PythonInterp: /usr/bin/python3 (found suitable version "3.6.9", minimum required is "3") 
[0.486s] -- Using PYTHON_EXECUTABLE: /usr/bin/python3
[0.896s] -- Found ament_lint_auto: 0.8.1 (/opt/ros/eloquent/share/ament_lint_auto/cmake)
[0.996s] -- Added test 'lint_cmake' to check CMake code style
[0.997s] -- Added test 'xmllint' to check XML markup files
[0.999s] -- Configuring done
[1.001s] -- Generating done
[1.003s] -- Build files have been written to: /home/hema/ankhrobotics.github.io/Lectures/ros2_course/dolly_ws/build/dolly
[1.065s] [36mInstall the project...[0m
[1.068s] -- Install configuration: ""
[1.068s] -- Installing: /home/hema/ankhrobotics.github.io/Lectures/ros2_course/dolly_ws/install/dolly/share/ament_index/resource_index/package_run_dependencies/dolly
[1.068s] -- Installing: /home/hema/ankhrobotics.github.io/Lectures/ros2_course/dolly_ws/install/dolly/share/ament_index/resource_index/parent_prefix_path/dolly
[1.069s] -- Installing: /home/hema/ankhrobotics.github.io/Lectures/ros2_course/dolly_ws/install/dolly/share/dolly/environment/ament_prefix_path.sh
[1.069s] -- Installing: /home/hema/ankhrobotics.github.io/Lectures/ros2_course/dolly_ws/install/dolly/share/dolly/environment/ament_prefix_path.dsv
[1.069s] -- Installing: /home/hema/ankhrobotics.github.io/Lectures/ros2_course/dolly_ws/install/dolly/share/dolly/environment/path.sh
[1.069s] -- Installing: /home/hema/ankhrobotics.github.io/Lectures/ros2_course/dolly_ws/install/dolly/share/dolly/environment/path.dsv
[1.069s] -- Installing: /home/hema/ankhrobotics.github.io/Lectures/ros2_course/dolly_ws/install/dolly/share/dolly/local_setup.bash
[1.070s] -- Installing: /home/hema/ankhrobotics.github.io/Lectures/ros2_course/dolly_ws/install/dolly/share/dolly/local_setup.sh
[1.070s] -- Installing: /home/hema/ankhrobotics.github.io/Lectures/ros2_course/dolly_ws/install/dolly/share/dolly/local_setup.zsh
[1.070s] -- Installing: /home/hema/ankhrobotics.github.io/Lectures/ros2_course/dolly_ws/install/dolly/share/dolly/local_setup.dsv
[1.070s] -- Installing: /home/hema/ankhrobotics.github.io/Lectures/ros2_course/dolly_ws/install/dolly/share/dolly/package.dsv
[1.070s] -- Installing: /home/hema/ankhrobotics.github.io/Lectures/ros2_course/dolly_ws/install/dolly/share/ament_index/resource_index/packages/dolly
[1.070s] -- Installing: /home/hema/ankhrobotics.github.io/Lectures/ros2_course/dolly_ws/install/dolly/share/dolly/cmake/dollyConfig.cmake
[1.070s] -- Installing: /home/hema/ankhrobotics.github.io/Lectures/ros2_course/dolly_ws/install/dolly/share/dolly/cmake/dollyConfig-version.cmake
[1.070s] -- Installing: /home/hema/ankhrobotics.github.io/Lectures/ros2_course/dolly_ws/install/dolly/share/dolly/package.xml
